Nr.,Vaiko gimimo metai,Prašymo pateikimo data,Vaiko priėmimo į grupę data,Deklaruotas mieste,Atitinka priskirta teritorija,Vaiko seniunija,Deklaruota gyvenamoji vieta
103,2010,2012-08-08,2012-09-01,Taip,Taip,Pašilaičių,Vilnius
104,2008,2012-08-08,2012-09-01,Taip,Taip,Pašilaičių,Vilnius
105,2008,2012-08-08,2011-09-01,Taip,Ne,Verkių,Vilnius
106,2011,2012-05-22,2013-06-21,Taip,Taip,Pašilaičių,Vilnius
107,2009,2012-08-08,2011-09-01,Taip,Taip,Pašilaičių,Vilnius
108,2009,2012-08-08,2011-09-01,Taip,Taip,Pašilaičių,Vilnius
109,2011,2011-09-26,2013-07-01,Taip,Ne,Fabijoniškių,Vilnius
110,2012,2014-01-24,2014-03-13,Taip,Taip,Pašilaičių,Vilnius
111,2010,2012-08-08,2012-09-01,Taip,Ne,Grigiškių,Vilniaus m. sav.
112,2011,2013-01-03,2014-09-15,Taip,Taip,Pašilaičių,Vilnius
113,2012,2012-08-06,2014-05-23,Taip,Taip,Pašilaičių,Vilnius
114,2012,2012-12-22,2014-06-17,Taip,Taip,Pašilaičių,Vilnius
115,2009,2012-12-20,2013-07-01,Taip,Taip,Pašilaičių,Vilnius
116,2009,2010-03-18,2013-07-19,Taip,Taip,Pašilaičių,Vilnius
117,2011,2011-05-05,2013-07-01,Taip,Taip,Pašilaičių,Vilnius
118,2011,2011-10-10,2013-07-01,Taip,Taip,Pašilaičių,Vilnius
119,2012,2013-01-14,2014-08-07,Taip,Taip,Pašilaičių,Vilnius
120,2010,2010-11-12,2014-10-22,Taip,Taip,Pašilaičių,Vilnius
121,2010,2012-03-20,2013-07-19,Taip,Ne,Verkių,Vilnius
122,2011,2011-12-06,2013-07-01,Taip,Taip,Pašilaičių,Vilnius
123,2010,2011-02-09,2013-10-28,Taip,Taip,Pašilaičių,Vilnius
124,2010,2010-10-27,2013-08-30,Taip,Taip,Pašilaičių,Vilnius
125,2012,2014-01-10,2014-05-21,Taip,Taip,Pašilaičių,Vilnius
126,2011,2012-05-10,2013-07-01,Taip,Taip,Pašilaičių,Vilnius
127,2009,2012-08-20,2013-06-20,Taip,Taip,Pašilaičių,Vilnius
128,2011,2013-10-01,2013-11-04,Taip,Taip,Pašilaičių,Vilnius
129,2009,2010-04-06,2013-06-19,Taip,Taip,Pašilaičių,Vilnius
130,2011,2013-01-02,2014-05-31,Taip,Ne,Pilaitės,Vilnius
131,2011,2011-06-16,2013-07-01,Taip,Taip,Pašilaičių,Vilnius
132,2011,2012-04-18,2013-09-01,Taip,Ne,Verkių,Vilnius
133,2011,2011-11-24,2014-06-13,Taip,Taip,Pašilaičių,Vilnius
134,2011,2012-04-17,2013-07-01,Taip,Ne,Fabijoniškių,Vilnius
135,2011,2012-12-18,2013-06-21,Ne,Taip,Pašilaičių,Vilnius
136,2011,2011-04-21,2013-07-01,Taip,Taip,Pašilaičių,Vilnius
137,2011,2014-09-05,2014-09-05,Taip,Ne,,
138,2012,2014-01-10,2014-04-09,Taip,Ne,Šeškinės,Vilnius
139,2011,2014-01-10,2014-05-28,Taip,Ne,Fabijoniškių,Vilnius
140,2012,2014-01-10,2014-05-20,Taip,Taip,Pašilaičių,Vilnius
141,2009,2012-08-30,2013-07-01,Taip,Taip,Pašilaičių,Vilnius
142,2011,2011-09-15,2013-06-21,Taip,Taip,Pašilaičių,Vilnius
143,2011,2012-12-20,2014-05-20,Taip,Taip,Pašilaičių,Vilnius
144,2011,2013-01-15,2013-06-21,Taip,Taip,Pašilaičių,Vilnius
145,2009,2013-11-08,2014-05-20,Taip,Taip,Pašilaičių,Vilnius
146,2011,2013-09-04,2013-09-04,Taip,Taip,Pašilaičių,Vilnius
147,2010,2010-09-16,2013-06-19,Taip,Taip,Pašilaičių,Vilnius
148,2011,2012-12-17,2013-07-01,Taip,Taip,Pašilaičių,Vilnius
149,2011,2011-07-07,2013-09-06,Taip,Taip,Pašilaičių,Vilnius
150,2010,2012-12-17,2013-07-01,Taip,Ne,Antakalnio,Vilnius
151,2012,2014-06-03,2014-06-04,Taip,Ne,Justiniškių,Vilnius
152,2012,2014-01-10,2014-05-28,Taip,Taip,Pašilaičių,Vilnius
153,2011,2011-03-14,2013-09-01,Taip,Ne,Lazdynų,Vilnius
154,2011,2011-08-30,2013-07-01,Taip,Taip,Pašilaičių,Vilnius
155,2008,2013-02-19,2013-06-20,Taip,Taip,Pašilaičių,Vilnius
156,2011,2013-03-19,2013-07-19,Taip,Taip,Pašilaičių,Vilnius
157,2010,2011-09-08,2013-06-20,Taip,Ne,Naujosios Vilnios,Vilnius
158,2010,2010-08-05,2013-12-09,Taip,Taip,Pašilaičių,Vilnius
159,2011,2011-09-30,2013-10-24,Taip,Taip,Pašilaičių,Vilnius
160,2009,2012-08-08,2011-09-01,Taip,Ne,Verkių,Vilnius
161,2008,2012-08-08,2010-10-04,Taip,Ne,Fabijoniškių,Vilnius
162,2013,2014-01-10,2014-05-28,Taip,Taip,Pašilaičių,Vilnius
163,2012,2014-01-10,2014-05-26,Taip,Taip,Pašilaičių,Vilnius
164,2013,2014-01-10,2014-05-21,Taip,Taip,Pašilaičių,Vilnius
165,2010,2013-10-15,2013-12-27,Taip,Taip,Pašilaičių,Vilnius
166,2009,2012-08-08,2011-09-01,Taip,Taip,Pašilaičių,Vilnius
167,2009,2012-08-08,2011-09-01,Taip,Taip,Pašilaičių,Vilnius
168,2012,2014-01-10,2014-05-24,Taip,Taip,Pašilaičių,Vilnius
