"ID","LABEL","CHILDSCOUNT","TYPE","SCHOOL_ID"
"5","Bitutės","10","Nuo 4 iki 7 metų","41"
"6","Spinduliukai (sav.)","5","Nuo 5 iki 7 metų","41"
"7","Korotyški (sav.)","0","Nuo 4 iki 7 metų","41"
"8","VIEVERSĖLIAI (SPEC)","12","Nuo 3 iki 7 metų","41"
"9","SAULUTĖ (SPEC.sav.)","10","Nuo 3 iki 7 metų","41"
"14","Lašeliai","0","Nuo 3 iki 5 metų","41"
"15","Nevaliaški (sav.)","14","Nuo 1,5 iki 3 metų","41"
"16","Funtiki (sav.)","0","Iki 1,5 metų","41"
"17","NAUJA (LOPŠELIS)","10","Iki 1,5 metų","41"
"18","NAUJA (LOPŠELIS)","10","Nuo 1,5 iki 3 metų","41"
"2","Boružėlių","0","Nuo 3 iki 4 metų","42"
"3","Saulytės","16","Nuo 5 iki 6 metų","42"
"4","Pelėdžiukų","0","Nuo 5 iki 6 metų","42"
"6","Varliukų","15","Nuo 1,5 iki 3 metų","42"
"7","Varpelių","0","Nuo 3 iki 6 metų","42"
"8","Delfinukai","18","Nuo 3 iki 4 metų","42"
"9","Drugeliai","16","Nuo 5 iki 6 metų","42"
"10","Žuvytės","0","Nuo 4 iki 5 metų","42"
"14","Delfinai","20","Nuo 4 iki 5 metų","42"
"16","Paukšteliai","13","Nuo 1 iki 2 metų","42"
"18","Kiškučiai","0","Nuo 3 iki 4 metų","42"
"19","NAUJA (LOPŠELIS)","10","Nuo 1 iki 2 metų","42"
"20","NAUJA (LOPŠELIS)","10","Nuo 1,5 iki 3 metų","42"
"21","NAUJA DARŽELIS","18","Nuo 3 iki 4 metų","42"
"22","NAUJA DARŽELIS","20","Nuo 4 iki 5 metų","42"
"1","I grupė","10","Nuo 3 iki 7 metų","43"
"2","II grupė","9","Nuo 3 iki 7 metų","43"
"1","ZUIKUČIAI","0","Nuo 4 iki 5 metų","44"
"2","AŽUOLIUKŲ","0","Nuo 4 iki 5 metų","44"
"3","PELĖDŽIUKAI","2","Nuo 6 iki 7 metų","44"
"4","BORUŽĖLĖS","0","Nuo 5 iki 6 metų","44"
"5","BITUTĖS","7","Nuo 6 iki 7 metų","44"
"9","NYKŠTUKAI","0","Nuo 3 iki 4 metų","44"
"17","SMALSUČIAI","0","Nuo 1,5 iki 3 metų","44"
"18","ŽVIRBLIUKAI","0","Nuo 1,5 iki 3 metų","44"
"19","NAUJA (LOPŠELIS)","0","Nuo 1,5 iki 3 metų","44"
"20","NAUJA DARŽELIS","16","Nuo 3 iki 4 metų","44"
"3","NYKŠTUKŲ","20","Nuo 5 iki 6 metų","45"
"4","SMALSUČIŲ","11","Nuo 6 iki 7 metų","45"
"6","MUMINUKŲ","22","Nuo 4 iki 5 metų","45"
"10","PŪKUOTUKAI","0","Nuo 3 iki 4 metų","45"
"11","SPINDULIUKAI","0","Nuo 1,5 iki 3 metų","45"
"12","KIŠKUČIAI","17","Nuo 1,5 iki 3 metų","45"
"13","NAUJA (LOPŠELIS)","12","Nuo 1,5 iki 3 metų","45"
"2","Uodelių","19","Nuo 3 iki 4 metų","46"
"3","OŽIUKŲ","19","Nuo 4 iki 5 metų","46"
"4","Vištyčių","0","Nuo 5 iki 6 metų","46"
"5","GAIDŽIUKŲ","6","Nuo 6 iki 7 metų","46"
"7","Musyčių","0","Nuo 1,5 iki 3 metų","46"
"13","MALŪNO","13","Nuo 1,5 iki 3 metų","46"
"15","NAUJA (LOPŠELIS)","0","Nuo 1,5 iki 3 metų","46"
"21","RAMUNĖ","0","Nuo 5 iki 6 metų","47"
"22","PELĖDŽIUKAI","0","Nuo 6 iki 7 metų","47"
