Darželis,"Vaikų 
skaičius","Suma iš 
Pateisintos dėl ligos","Suma iš 
Pateisintos dėl kitų priežasčių","Suma iš 
Nepateisintos dienos","Suma iš 
Praleistos dienos Viso","Pateisintos 
dėl ligos (vidurkis)","Pateisintos 
dėl kitų priežasčių
(vidurkis)","Nepateisintos 
dienos (vidurkis)","Praleistos 
dienos 
(vidurkis)",Pastato išorė,Pastato vidus,Pastato bendra būklė
Šaltinėlis,355,5849,20398,643,26890,16.5,57.5,1.8,75.7,4.10,3.87,3.98
Giliukas,163,2645,7347,521,10513,16.2,45.1,3.2,64.5,-,-,-
Dainorėliai,172,2755,5136,764,8655,16.0,29.9,4.4,50.3,5.13,3.80,4.47
Naujųjų verkių,48,763,2213,59,3035,15.9,46.1,1.2,63.2,3.20,3.76,3.48
Gudrutis,235,3559,6005,1592,11156,15.1,25.6,6.8,47.5,-,-,-
Rūta,428,6451,12889,2446,21786,15.1,30.1,5.7,50.9,5.10,3.84,4.47
„Atžalyno” mokykla-darželis,103,1549,1888,451,3888,15.0,18.3,4.4,37.7,2.27,3.44,2.85
Aušra,194,2729,5556,771,9056,14.1,28.6,4.0,46.7,3.73,3.55,3.64
Žemuogėlė,241,3309,3814,174,7297,13.7,15.8,0.7,30.3,3.00,3.56,3.28
Gluosnis,142,1232,66,317,1615,8.7,0.5,2.2,11.4,9.27,9.64,9.25
Žilvitis,189,822,594,215,1631,4.3,3.1,1.1,8.6,3.47,3.72,3.59
Rytas,165,572,224,240,1036,3.5,1.4,1.5,6.3,2.53,3.72,3.13
