ID;PLAN_ID;GROUP_ID;LABEL;REL_EDUCATION;GROUP_TYPE;AGE_TYPE;WILL_ACCEPT
921;192;0;"BITUTĖS NAUJA";20;2;6;15
922;192;0;"SPINDULIUKAI NAUJA";20;1;3;15
923;193;13;;0;0;0;14
924;193;4;;0;0;0;25
925;193;11;;0;0;0;4
927;194;0;"ANKSTYVOJO AMŽIAUS";5;1;3;30
928;194;0;"PRIEŠ. ANČIUKŲ";5;3;9;2
929;194;0;IKIMOKYKLINĖ;5;2;6;31
930;195;7;;0;0;0;15
931;195;12;;0;0;0;20
932;196;29;;0;0;0;13
933;196;15;;0;0;0;15
934;196;0;SKRUZDĖLIUKAI;5;2;8;5
935;196;0;BITUTĖS;24;1;1;15
936;197;25;;0;0;0;13
937;197;24;;0;0;0;13
938;197;17;;0;0;0;6
939;197;18;;0;0;0;6
940;197;23;;0;0;0;12
941;197;26;;0;0;0;3
942;198;22;;0;0;0;7
943;198;13;;0;0;0;15
944;198;27;;0;0;0;3
947;198;5;;0;0;0;4
949;198;0;nauja;5;2;14;17
953;200;15;;0;0;0;12
954;200;5;;0;0;0;8
955;200;0;KIŠKUČIŲ;5;2;6;20
956;201;22;;0;0;0;15
958;202;2;;0;0;0;7
959;202;8;;0;0;0;1
960;202;9;;0;0;0;3
961;202;1;;0;0;0;2
962;202;12;;0;0;0;8
963;202;7;;0;0;0;1
964;202;10;;0;0;0;8
965;202;11;;0;0;0;10
966;182;0;;4;1;3;11
967;182;0;;4;1;3;11
968;182;0;;4;2;8;1
969;182;0;;4;3;9;2
970;203;0;VOVERIUKŲ;5;1;3;20
971;203;0;KIŠKUČIŲ;5;2;6;4
972;203;0;BITUČIŲ;5;2;8;4
973;204;1;;0;0;0;15
974;204;0;PRIEŠMOKYKLINĖ;19;3;9;15
975;205;1;;0;0;0;15
976;205;8;;0;0;0;7
977;205;14;;0;0;0;20
978;205;4;;0;0;0;16
979;206;26;;0;0;0;11
980;206;25;;0;0;0;12
981;206;21;;0;0;0;18
982;206;22;;0;0;0;19
983;206;12;;0;0;0;1
984;207;12;;0;0;0;13
985;207;10;;0;0;0;6
986;207;9;;0;0;0;6
987;208;5;;0;0;0;15
988;209;2;;0;0;0;15
989;209;3;;0;0;0;5
990;209;6;;0;0;0;4
991;210;20;;0;0;0;16
992;210;21;;0;0;0;16
993;210;19;;0;0;0;3
994;210;3;;0;0;0;5
995;210;5;;0;0;0;5
996;211;27;;0;0;0;14
997;211;25;;0;0;0;14
998;211;26;;0;0;0;18
999;211;15;;0;0;0;16
1000;211;18;;0;0;0;4
1001;212;2;;0;0;0;22
1002;212;12;;0;0;0;2
1003;212;11;;0;0;0;1
1004;212;7;;0;0;0;8
1005;212;1;;0;0;0;8
1006;213;9;;0;0;0;15
1007;213;8;;0;0;0;9
1008;213;3;;0;0;0;1
1009;213;4;;0;0;0;3
1010;214;20;;0;0;0;15
1011;214;21;;0;0;0;15
1012;214;15;;0;0;0;5
1013;214;18;;0;0;0;6
1014;214;19;;0;0;0;3
1015;214;16;;0;0;0;4
1016;214;3;;0;0;0;3
1017;214;17;;0;0;0;6
1018;214;12;;0;0;0;5
1019;215;6;;0;0;0;13
1020;216;9;;0;0;0;15
1021;216;6;;0;0;0;15
1022;217;21;;0;0;0;13
1023;217;22;;0;0;0;13
1024;217;1;;0;0;0;5
1025;217;6;;0;0;0;6
1026;217;2;;0;0;0;12
1028;218;10;;0;0;0;14
1029;218;5;;0;0;0;2
1030;198;14;;0;0;0;2
1031;219;10;;0;0;0;10
1032;219;11;;0;0;0;13
1033;219;2;;0;0;0;13
1040;222;8;;0;0;0;12
1041;222;5;;0;0;0;4
1043;223;7;;0;0;0;14
1044;190;15;;0;0;0;13
1045;190;4;;0;0;0;4
1046;190;0;PELĖDŽIUKAI;5;2;6;20
1047;190;0;GĖLYTĖS;19;2;16;3
1048;224;3;;0;0;0;28
1049;224;5;;0;0;0;6
1050;224;8;;0;0;0;2
1051;225;0;NAUJA;5;3;11;11
1052;225;0;NAUJA;5;1;3;29
1053;225;0;NAUJA;5;2;6;11
1054;225;0;NAUJA;5;3;9;4
1055;225;0;NAUJA;5;2;7;4
1056;226;0;;5;1;3;25
1057;226;0;;5;2;6;13
1058;226;0;;5;2;7;2
1060;226;0;;5;3;9;6
1061;227;22;;0;0;0;14
1062;227;23;;0;0;0;16
1063;227;1;;0;0;0;4
1064;227;2;;0;0;0;6
1065;227;3;;0;0;0;1
1067;228;22;;0;0;0;15
1068;228;21;;0;0;0;15
1069;228;14;;0;0;0;5
1070;228;13;;0;0;0;4
1071;228;19;;0;0;0;10
1072;229;11;;0;0;0;13
1073;229;16;;0;0;0;11
1074;229;15;;0;0;0;9
1075;229;14;;0;0;0;8
1082;231;19;;0;0;0;14
1083;231;18;;0;0;0;13
1084;231;15;;0;0;0;16
1085;231;16;;0;0;0;15
1086;231;3;;0;0;0;2
1087;231;14;;0;0;0;2
1088;232;8;;0;0;0;10
1089;232;7;;0;0;0;6
1090;232;2;;0;0;0;25
1091;232;1;;0;0;0;1
1092;233;12;;0;0;0;10
1093;233;11;;0;0;0;11
1094;233;3;;0;0;0;1
1095;234;19;;0;0;0;12
1096;234;20;;0;0;0;15
1097;234;10;;0;0;0;12
1098;234;0;NAUJA;5;2;6;22
1099;234;0;NAUJA;5;2;7;4
1100;235;11;;0;0;0;14
1101;235;12;;0;0;0;18
1102;235;13;;0;0;0;17
1103;235;14;;0;0;0;5
1104;220;0;NYKŠTUKAI;5;1;1;10
1105;220;0;KODĖLČIAI;5;1;3;15
1106;220;0;VIŠČIUKŲ;19;1;3;10
1107;230;8;;0;0;0;13
1108;230;21;;0;0;0;14
1109;230;13;;0;0;0;5
1110;230;10;;0;0;0;7
1111;230;6;;0;0;0;6
1112;230;4;;0;0;0;4
1113;221;0;NAUJA;4;1;3;28
1114;221;0;NAUJA;4;1;6;14
1115;221;0;NAUJA;4;1;7;2
1116;201;0;SAULUTĖ;24;1;1;15
1117;236;9;;0;0;0;9
1118;236;1;;0;0;0;11
1119;236;5;;0;0;0;7
1120;236;3;;0;0;0;3
1121;236;4;;0;0;0;3
1122;237;20;;0;0;0;50
1123;237;1;;0;0;0;20
1124;237;3;;0;0;0;20
1125;238;0;"NAUJOKAI LOPŠELIS";5;1;3;34
1126;238;0;"NAUJOKAI DARŽELIS 3-4 M";5;2;6;16
1127;238;0;"NAUJOKAI DARŽELIS 4-5 M.";5;2;7;6
1128;238;0;"NAUJOKAI PRIEŠMOKYKLINĖS";5;3;9;6
1129;239;3;;0;0;0;16
1130;239;10;;0;0;0;2
1131;239;4;;0;0;0;4
1132;239;2;;0;0;0;1
1133;227;24;;0;0;0;5
1134;240;2;;0;0;0;5
1135;240;1;;0;0;0;20
1136;240;0;ŽIRNIUKAI;5;2;7;3
1137;241;13;;0;0;0;15
1138;241;7;;0;0;0;4
1139;242;35;;0;0;0;15
1140;242;32;;0;0;0;15
1141;242;31;;0;0;0;7
1142;242;13;;0;0;0;5
1143;242;22;;0;0;0;1
1144;242;18;;0;0;0;1
1145;242;34;;0;0;0;1
1146;242;23;;0;0;0;1
1147;242;17;;0;0;0;1
1148;243;21;;0;0;0;13
1149;243;20;;0;0;0;7
1150;243;19;;0;0;0;15
1151;243;9;;0;0;0;7
1152;244;30;;0;0;0;5
1153;244;13;;0;0;0;13
1154;244;34;;0;0;0;15
1155;244;33;;0;0;0;16
1156;244;31;;0;0;0;3
1157;244;7;;0;0;0;2
1158;245;1;;0;0;0;20
1159;245;2;;0;0;0;3
1160;245;6;;0;0;0;2
1161;245;5;;0;0;0;3
1162;246;9;;0;0;0;14
1163;246;10;;0;0;0;9
1164;247;0;BORUŽIUKAI;5;1;3;17
1165;247;0;GĖLYTĖS;5;1;3;18
1166;247;0;ŽIRNIUKAI;5;2;6;2
1167;248;11;;0;0;0;30
1168;248;4;;0;0;0;3
1169;249;13;;0;0;0;13
1170;249;12;;0;0;0;13
1171;249;4;;0;0;0;2
1172;250;10;;0;0;0;13
1173;250;9;;0;0;0;16
1174;250;3;;0;0;0;16
1175;250;12;;0;0;0;7
1176;201;0;BORUŽĖLĖS;24;2;13;2
1177;201;0;GINTARĖLIAI;19;2;6;4
1178;201;0;GAIDELIAI;19;3;9;4
1179;201;0;NYKŠTUKAI;19;2;7;1
1180;251;20;;0;0;0;16
1181;251;18;;0;0;0;15
1182;251;19;;0;0;0;3
1183;251;3;;0;0;0;3
1184;251;10;;0;0;0;7
1185;251;5;;0;0;0;2
1186;252;0;NAUJA;19;2;6;20
1187;252;0;NAUJA;19;2;6;20
1188;252;0;NAUJA;19;3;9;10
1189;253;12;;0;0;0;16
1190;253;17;;0;0;0;17
1191;253;2;;0;0;0;23
1192;253;1;;0;0;0;1
1193;254;22;;0;0;0;15
1194;254;23;;0;0;0;13
1195;254;25;;0;0;0;4
1196;254;4;;0;0;0;6
1197;254;0;NAUJA;4;1;3;15
1198;255;22;;0;0;0;17
1199;255;23;;0;0;0;16
1200;255;3;;0;0;0;18
1201;255;14;;0;0;0;7
1202;255;26;;0;0;0;1
1203;255;27;;0;0;0;6
1204;255;11;;0;0;0;4
1205;255;16;;0;0;0;5
1206;256;11;;0;0;0;24
1207;256;6;;0;0;0;7
1208;256;1;;0;0;0;8
1209;256;0;NAUJA;19;1;3;15
1210;257;15;;0;0;0;1
1211;257;17;;0;0;0;1
