ID;PLAN_ID;GROUP_ID;LABEL;REL_EDUCATION;GROUP_TYPE;AGE_TYPE;WILL_ACCEPT
193;49;11;;19;2;4;4
194;49;5;;24;2;4;3
195;49;4;;19;2;4;5
196;50;19;;19;1;3;7
197;50;20;;5;1;3;17
198;50;10;;24;2;18;8
199;50;5;;24;2;16;1
200;51;1;;24;3;11;20
201;51;2;;19;3;11;20
202;51;3;;24;3;11;20
204;52;17;;5;1;3;13
205;52;18;;5;1;3;13
206;52;4;;5;2;6;6
207;52;2;;5;2;6;5
208;52;16;;5;2;7;2
209;52;13;;5;1;7;1
210;53;5;;19;2;3;3
211;53;9;;5;1;3;14
212;53;1;;5;2;10;4
213;53;2;;19;2;4;1
214;53;3;;5;2;8;4
215;19;4;;5;2;6;4
216;19;6;;5;2;6;11
217;54;9;;24;2;3;15
218;54;8;;24;1;3;8
219;54;2;;24;2;7;2
220;54;4;;24;2;9;8
221;55;5;;5;2;3;12
222;55;6;;6;2;3;6
223;55;9;;24;2;20;8
229;56;18;;5;1;3;14
230;56;17;;5;1;3;10
231;56;6;;5;2;6;10
234;56;3;;5;2;9;3
235;56;4;;5;2;9;4
236;57;16;;20;1;1;7
237;57;15;;20;1;3;8
238;57;14;;20;2;6;4
239;57;5;;5;3;16;2
240;57;7;;20;2;16;3
241;57;6;;20;3;11;6
242;58;1;;19;1;3;6
243;59;21;;19;1;3;11
244;59;20;;5;1;3;5
245;59;19;;5;1;3;15
246;59;7;;5;2;9;13
247;60;6;;19;1;3;15
250;61;2;;24;3;9;20
251;61;1;;19;3;9;40
252;62;14;;5;1;3;15
253;62;10;;5;2;6;8
254;62;5;;5;2;7;2
255;62;4;;5;2;8;10
256;62;12;;5;3;9;5
257;63;18;;5;1;3;17
258;63;17;;5;1;3;17
259;63;3;;5;2;6;9
260;63;4;;5;2;6;11
261;63;9;;9;2;4;20
262;63;12;;5;2;7;2
265;64;2;;5;2;3;15
267;27;3;;5;3;9;2
268;29;10;;5;2;3;14
269;65;7;;24;1;3;15
270;66;6;;5;2;3;15
272;66;20;;5;2;6;14
275;66;3;;5;3;9;11
276;67;11;;24;1;3;7
277;67;4;;19;2;3;4
278;67;6;;19;2;14;4
279;67;2;;5;3;11;2
280;68;6;;5;2;3;4
281;68;3;;19;2;3;5
282;68;15;;19;2;10;8
283;68;14;;5;2;7;2
284;68;4;;19;3;13;4
285;68;11;;5;1;9;13
286;69;23;;5;1;3;7
287;69;22;;19;1;3;15
288;69;1;;24;2;19;4
289;69;9;;19;2;6;1
290;69;16;;19;2;7;1
291;69;5;;19;3;8;4
292;69;2;;5;2;8;9
293;69;10;;24;2;11;6
294;69;21;;5;3;9;17
295;70;8;;9;2;20;6
297;70;4;;5;3;9;10
298;72;20;;19;1;3;15
299;72;21;;19;1;3;15
300;72;4;;19;2;6;5
302;72;5;;19;3;9;8
303;73;8;;19;1;3;10
304;73;5;;19;2;6;1
305;73;2;;19;2;7;1
306;74;14;;24;2;3;15
308;74;6;;19;2;10;5
309;74;1;;5;3;9;5
310;74;28;;5;2;9;4
311;75;11;;5;1;3;14
312;75;7;;5;2;6;6
313;76;20;;5;1;3;19
314;76;18;;5;1;3;20
315;76;2;;5;2;6;7
316;76;10;;24;3;4;6
318;76;11;;5;2;7;1
319;76;5;;5;2;8;2
321;76;3;;5;3;9;3
322;34;12;;5;2;6;7
323;34;23;;5;2;6;6
324;34;30;SAULUTĖS;5;1;6;22
326;76;1;;5;2;6;5
327;76;6;;5;2;8;4
328;77;7;;5;0;1;10
329;77;9;;5;0;3;15
330;77;19;;5;0;3;4
331;77;15;;19;0;3;9
332;77;11;;5;0;9;2
333;77;10;;5;0;9;2
334;78;13;;5;0;3;16
335;78;14;;5;0;3;17
339;79;13;;5;0;1;6
340;79;22;;5;0;3;15
342;79;3;;5;0;14;6
343;79;18;;5;0;7;9
344;79;14;;5;0;8;15
345;78;5;;5;0;6;11
346;80;8;;19;0;1;10
347;80;7;;19;0;3;4
348;80;2;;19;0;6;5
349;81;17;;5;0;3;42
354;82;29;"NAUJA LOPŠELIS";5;1;3;15
355;83;20;;5;0;3;26
356;83;10;;5;0;6;38
358;83;5;;5;0;9;5
359;84;2;;5;0;3;8
360;84;1;;5;0;10;2
361;84;5;;5;0;10;6
362;84;8;;5;0;10;5
363;84;10;;5;0;13;1
364;84;4;;5;0;9;2
365;84;3;;5;0;9;3
366;85;4;;19;0;6;22
367;85;3;;19;0;6;22
368;85;13;;19;0;10;2
369;85;15;;19;0;21;3
370;85;2;;19;0;9;6
371;85;1;;19;0;9;6
372;86;19;;5;0;3;25
373;86;3;;5;0;6;14
374;19;3;;5;0;9;2
375;87;7;;5;0;3;17
376;87;1;;5;0;3;17
377;87;6;;5;0;3;17
378;87;8;;5;0;6;22
379;87;2;;5;0;6;22
380;87;3;;5;0;7;22
381;87;9;;5;0;8;22
382;87;4;;5;0;8;22
383;87;5;;5;0;9;22
384;88;10;;5;0;3;4
385;88;11;;5;0;3;12
386;43;22;;5;0;6;17
387;1;11;;5;0;6;23
388;89;20;;5;0;3;12
389;89;21;;5;0;3;13
390;89;26;NAUJA;5;1;3;15
391;90;26;;5;0;3;18
392;90;27;;5;0;3;12
393;90;7;;5;0;6;15
394;90;23;;5;0;10;7
396;49;2;;5;0;3;1
397;89;4;;5;0;6;7
398;89;3;;5;0;6;8
400;91;10;;19;0;3;14
401;91;6;;19;0;10;4
402;91;5;;19;0;11;2
403;92;1;;24;0;9;15
404;46;5;;5;0;6;20
405;46;28;;5;0;9;6
406;93;11;;24;0;3;12
407;93;12;;24;0;3;14
408;93;13;;19;0;3;8
409;93;16;;19;0;11;1
410;93;21;;24;0;9;3
411;94;9;;5;0;3;7
412;94;10;;5;0;3;10
414;95;1;;5;0;9;24
415;95;2;;5;0;9;20
416;96;20;;5;0;3;16
417;96;8;;5;0;6;49
419;96;7;;5;0;8;4
420;96;14;;5;0;9;2
422;71;23;;5;0;3;25
425;97;22;;5;0;3;15
426;97;20;;5;0;3;15
428;97;15;;5;0;8;6
430;64;4;;5;0;6;1
431;97;23;;5;0;6;10
434;99;5;;5;0;3;15
436;99;13;LOPŠELIS;5;1;3;14
437;99;14;PRIEŠMOKYKLINĖ;5;3;9;16
438;100;25;;19;0;1;14
439;100;23;;19;0;3;5
440;100;20;;5;0;3;13
441;100;12;;19;0;6;12
442;100;19;;19;0;8;3
443;101;20;"LOPŠELIS NAUJA";5;1;3;15
444;101;21;"DARŽELIS NAUJA";5;2;6;28
445;39;20;;19;0;6;3
446;102;17;"BOŽJI KOROVKI";19;1;3;15
450;102;18;SOLNYŠKO;19;3;9;4
451;102;19;PČIOLKI;19;3;9;4
456;103;12;;5;0;3;18
457;103;17;;5;0;3;12
458;103;7;;5;0;6;11
459;103;6;;5;0;6;6
460;103;13;;5;0;7;1
461;103;2;;5;0;8;9
462;103;11;;5;0;9;10
463;104;19;;5;0;3;15
464;105;9;;5;0;1;10
465;105;10;;5;0;3;8
466;104;3;;5;0;6;5
467;104;6;;10;0;4;9
468;104;13;;9;0;4;5
469;104;14;;9;0;4;6
470;104;17;;5;0;8;6
471;104;18;;5;0;9;7
472;106;27;;5;0;3;10
473;106;25;;5;0;3;13
474;106;26;;6;0;3;12
475;107;6;;19;0;3;5
476;107;5;;19;0;3;15
477;108;2;;5;0;9;20
479;109;1;;5;0;9;31
480;71;6;;5;0;6;18
481;74;24;;5;0;6;15
482;88;6;;5;0;6;3
483;29;1;;5;0;7;3
484;110;9;;24;0;16;3
485;111;20;;5;0;3;15
493;111;13;;5;0;8;8
495;111;4;;5;0;9;3
496;110;14;;19;0;3;8
497;110;17;;24;0;18;6
500;111;21;;5;0;6;2
501;30;17;;5;0;6;4
502;30;3;;5;0;6;5
503;28;3;;5;0;9;6
504;9;21;VIEVERSĖLIAI;5;3;9;20
505;9;22;ŽVIRBLIUKAI;5;1;3;15
506;112;4;;5;0;10;13
507;112;2;;5;0;11;7
508;113;15;;5;0;3;15
509;113;2;;5;0;6;4
511;114;12;;5;0;3;10
512;114;11;;5;0;3;11
517;116;13;;24;0;3;17
518;116;12;;19;0;3;14
519;116;5;;5;0;10;7
520;116;4;;5;0;11;6
521;117;7;;5;0;6;20
522;25;5;;5;0;8;1
523;70;1;;5;0;8;2
524;118;11;;24;0;3;26
525;118;6;;19;0;4;9
528;118;4;;24;0;9;4
529;118;3;;24;0;6;9
530;119;19;;5;0;3;12
531;119;21;;5;0;3;12
532;119;20;;5;0;3;11
535;55;13;;5;0;6;4
536;55;1;;5;0;8;2
537;55;19;;5;2;6;8
539;121;16;;5;0;3;13
540;121;17;;5;0;3;11
541;121;3;;5;0;6;15
542;121;5;;5;0;6;18
543;122;1;;5;0;9;4
544;122;2;;5;0;9;20
545;122;3;;5;0;9;20
546;123;17;;5;0;3;21
547;123;2;;5;0;6;14
548;123;3;;5;0;7;4
552;124;11;;5;0;3;30
556;124;15;;5;0;6;40
558;124;16;;5;0;7;40
559;124;18;;5;0;8;40
560;124;19;;5;0;9;80
561;120;27;;5;0;3;34
562;120;8;;5;0;6;16
563;115;3;;5;0;4;6
564;115;2;;5;0;4;7
565;125;2;BITUTĖS;5;3;9;20
566;125;3;KATINĖLIAI;5;3;9;20
574;126;22;;5;0;3;12
575;126;6;;19;0;3;12
576;126;23;;5;0;6;5
577;126;21;;19;0;6;7
578;126;5;;24;0;14;3
579;126;1;;19;0;8;1
580;126;3;;19;0;9;1
581;127;30;;5;0;3;14
582;127;29;;5;0;3;17
583;127;33;KREGŽDŽIUKŲ;5;2;6;23
584;128;14;;24;0;6;22
585;128;13;;24;0;10;9
586;128;1;;24;0;8;8
587;128;2;;24;0;9;6
588;128;11;;24;0;9;2
590;130;17;ZUIKUČIAI;5;1;3;11
591;130;18;BORUŽIUKAI;5;2;6;5
592;130;19;DRUGELIAI;5;2;13;2
593;130;20;GĖLYTĖS;19;2;11;4
594;129;3;SMALSUČIAI;5;3;9;20
595;115;1;;6;0;4;2
596;131;21;;5;0;3;5
597;131;20;;5;0;3;12
598;131;15;;24;0;3;10
599;131;3;;5;0;6;3
600;131;4;;5;0;6;3
603;79;25;NAUJA;5;2;6;19
605;127;7;;5;0;6;1
606;132;22;;5;0;3;11
607;132;21;;5;0;3;14
608;132;3;;5;0;6;7
609;132;4;;9;0;14;2
610;132;8;;5;0;9;8
611;132;7;;5;0;9;1
612;26;10;;5;0;7;2
613;26;8;;5;0;7;2
614;133;17;;5;0;3;13
615;133;9;;5;0;6;5
616;133;5;;5;0;9;8
617;133;21;ŽVIRBLIUKAI;5;2;6;7
618;133;22;ZUIKUČIAI;5;2;7;3
620;134;23;;5;0;3;18
622;134;15;;5;0;6;23
623;134;9;;5;0;7;4
629;134;10;;5;0;9;9
630;135;1;;5;0;6;8
631;135;2;;5;0;13;10
632;135;3;;5;0;9;4
633;136;2;;5;0;6;20
634;136;6;;5;0;7;1
636;137;1;;24;0;11;15
637;137;2;PRIEŠMOKYKLINĖ2;24;3;11;15
638;138;4;;5;0;9;60
640;55;2;;5;0;9;14
641;139;19;;5;0;3;11
642;139;16;;5;0;6;3
643;139;6;;5;0;6;20
644;139;1;;5;0;8;2
645;140;1;;19;0;3;12
646;140;2;;19;0;6;2
647;140;4;;19;0;11;1
648;141;8;"NAUJA GRUPĖ";5;2;6;10
650;142;23;;5;0;3;8
651;142;22;;5;0;3;13
652;142;20;;5;0;6;7
653;142;13;;5;0;6;3
655;129;4;"SAULĖS ZUIKUČIAI";5;2;16;12
656;2;11;;5;0;3;11
657;2;3;;5;0;6;7
658;2;8;;5;0;7;10
659;2;6;;5;0;8;1
660;110;24;;5;0;6;13
661;110;26;;19;0;6;8
662;143;20;;19;0;3;8
663;143;21;;24;0;3;11
664;143;15;;24;0;6;1
665;143;18;;19;0;6;7
666;143;19;;19;0;7;8
667;143;3;;19;0;8;5
668;36;2;;19;0;6;9
674;144;6;;5;0;6;6
675;144;7;;5;0;6;2
676;144;14;;5;0;7;1
677;144;11;;5;0;8;2
678;144;20;NAUJA;5;1;3;34
679;145;1;;19;0;11;20
680;146;12;;19;0;9;18
681;146;27;SAULĖGRĄŽA;19;2;6;20
682;96;16;;5;0;7;4
683;147;6;;5;0;3;14
684;148;3;;24;0;11;20
685;148;6;;24;0;11;20
686;148;4;;24;0;9;20
687;148;5;;24;0;9;20
688;149;1;;19;0;3;16
692;149;9;;5;0;11;12
693;149;10;;24;0;11;1
694;150;1;;5;0;20;6
695;150;2;;24;0;20;2
696;150;6;;24;0;11;12
697;150;5;;19;0;11;17
698;150;7;LEPG;24;3;9;18
699;101;22;"PRIEŠMOKYKLINĖ NAUJA";5;3;9;20
700;151;1;;24;0;9;15
701;151;2;;24;0;9;15
706;153;24;;19;0;3;11
707;153;23;;5;0;3;14
