ID;LABEL;"LEFT(ADDRESS, 256)";SCHOOLNO;WWW;SCHOOL_TYPE;BUILDDATE;REGION_TYPE;ELDERATE_ID;GIS_X;GIS_Y
385;"Vilniaus Martyno Mažvydo progimnazija";"Vydūno g. 17A";195003862;;7;1989-11-14;;0;0;0
384;"Vilniaus Maironio progimnazija";"Čiobiškio g. 1";190002564;;7;1986-06-20;;5;6064950;579723
332;"Vilniaus Liepkalnio Pagrindinė Mokykla";"Liepkalnio g. 18";190007159;;1;1960-01-01;;15;6059847;583697
331;"Vilniaus Levo Karsavino vidurinė mokykla";"Justiniškių g. 43";190002411;;1;1960-01-01;;9;6063778;578576
389;"Vilniaus kunigaikščio Gedimino progimnazija";"Lukiškių skg. 5";191665719;;7;2016-05-02;;17;6062553;581603
626;"Vilniaus krikščionių gimnazija";"Gilužio g. 15";191709877;;2;2017-12-01;;1111;6063564;575565
314;"Vilniaus karaliaus Mindaugo mokykla";"Mindaugo g. 9";190005336;;1;1968-06-01;;17;6060990;582092
370;"Vilniaus Juzefo Ignacijaus Kraševskio gimnazija";"Rugiagėlių g. 15";190007878;;1;1951-01-01;;14;6063483;591579
371;"Vilniaus Jono Pauliaus II progimnazija";"Rygos g. 10";195472315;;6;1994-09-01;;9;6065110;578729
369;"Vilniaus Joachimo Lelevelio inžinerijos gimnazija";"Minties g. 3";190000175;;1;1941-09-01;;13;6064004;583703
312;"Vilniaus Emilijos Pliaterytės progimnazija";"Žirmūnų g. 119";195472653;;1;1968-06-01;;0;0;0
382;"Vilniaus Centro mokykla";uždaryta;4454;;1;2015-12-09;;0;0;0
324;"Vilniaus Baltupių progimnazija";"Didlaukio g. 23";190000894;;1;1979-12-16;;0;0;0
380;"Vilniaus Ateities mokykla";"S. Stanevičiaus g. 98";190003666;;7;1987-12-12;;4;6066603;580657
378;"Vilniaus Aleksandro Puškino mokykla";"Gabijos g. 8";190003470;;7;1989-12-12;;7;6066745;578722
167;"Vilniaus „Vilties“ specialioji mokykla-daugiafunkcinis centras";"Igno Šimulionio g. 6";190034188;;3;1960-01-01;;1111;6062722;578819
338;"Vilniaus „Spindulio“ progimnazija";"Rolando Jankausko g. 17";190006242;;1;1960-01-01;;10;6062339;577819
342;"Vilniaus „Pelėdos” pradinė mokykla";"Taikos g. 97";190016165;;1;1999-06-05;;8;6065682;578130
124;Vilnelė;"Pergalės g. 20";190023544;;1;1111-11-11;;14;6062147;591050
150;Vilkpėdės;"Gerosios Vilties g. 15";190016699;;1;1996-01-06;;18;6059880;580271
166;Vilija;"Taikos g. 15";190022976;;1;1980-12-14;;8;6065426;579249
158;Vieversys;"Žirmūnų g. 89";190020815;;1;1960-01-01;;2;6065626;584093
525;"Viešoji įstaiga Rudolfo Stainerio gydomosios pedagogikos centras";"Vido Maciulevičiaus g. 20";110080871;http://www.rsgpc.org/;2;2017-07-27;;1111;6061958;577803
647;"Viešoji įstaiga „Regnum“";"Trinapolio g. 11";222243010;;2;2017-12-01;;1111;6066065;583013
10196;"Viešoji įstaiga „Karaliukų akademija“";"Architektų g. 192 - 29";304831867;;2;2019-08-01;;11;0;0
637;"Viešoji įstaiga „GELTONŲ PLYTŲ KELIAS“";"Antakalnio g. 66";301694623;;2;2017-12-01;;1111;6064344;584591
657;"Viešoji įstaiga „Gandrų lizdas“";"Beržų g. 10, Riešė, Vilniaus r.";302645554;;2;2017-12-01;;1111;0;0
10198;"Viešoji įstaiga “Vilniaus tarptautinė mokykla”";"Rusų g. 3, Vilnius";300030249;;2;2019-08-01;;16;0;0
672;"VĮ Respublikinė Vilniaus Universitetinė ligoninė";"Pušyno kelias 23, Vilnius";124243848;;2;1986-10-26;;1;0;0
189;"VĮ Mažasis Trinapolis mok. 160 Eur";"Trinapolio g. 11";15;;2;2012-10-17;;1111;6066065;583013
123;Vėtrungė;"Gardino g. 8";190028096;;1;1973-11-30;;15;6059622;583920
125;Vėrinėlis;"S. Stanevičiaus g. 68";190033848;;1;1989-09-01;;4;6066291;580732
122;Vėjelis;"Gabijos g. 21";190032899;;1;1961-01-01;;7;6066861;578763
121;Varpelis;"Ukmergės g. 204";190030019;;1;1960-01-01;;5;6064729;580302
120;Vandenis;"P. Žadeikos g. 14A";190033990;;1;1960-01-01;;4;6067055;579871
529;"Valdorfo darželis všį vaikų darželis &quot;Namelis medyje&quot;";"Saulės g. 9A";300776494;;2;2017-07-27;;1111;6062652;584545
367;"Valakampių socialinių paslaugų namai";"Rukeliškių g. 44, Vilniaus m., Vilniaus m. sav., LT-10101";190998090;;4;2015-01-01;;0;583933;6068057
148;Vaivorykštė;"Tuskulėnų g. 42";190013393;;1;2013-02-01;;2;6063314;583236
601;"Vaikų meninė studija „Diemedis“";"A. Kojelavičiaus g. 1";191832470;http://www.diemedis.lt;2;2017-12-01;;1111;6062741;587851
576;"Vaikų lopšelis-darželis „Abadelė“";"Kaimelio g. 37";303316889;www.abadele.lt;2;2017-07-31;;1111;6066529;579995
10191;"Vaikų darželis &quot;Kaip miške&quot;";"Žirmūnų g. 139A";2147483647;http://kaipmiske.lt/;2;2015-09-01;;0;6066093;583566
119;Vaidilutė;"Rinktinės g. 29";190015978;;1;1111-11-11;;2;6063132;583062
149;Vaduvos;"Vaduvos g. 14A";290013960;;1;1991-03-13;;18;6056378;577898
118;Užupiukas;"Filaretų g. 19";190022442;;1;1996-01-07;;16;6061661;584234
635;"UAB vaikų darželis „Obuolių sodas“";"Įsruties g. 30";304140928;;2;2017-12-01;;1111;6064481;576209
611;"UAB Vaikystės sodas (V. Kudirkos sodas)";"Lakūnų g. 21";2147483647;;2;2017-12-01;;1111;6065290;583881
614;"UAB Vaikystės sodas (Tado Ivanausko sodas)";"Lobio g. 4";2147483647;;2;2017-12-01;;1111;6068595;581634
607;"UAB Vaikystės sodas (S. Batoro sodas)";"Stepono Batoro g. 36";2147483647;;2;2017-12-01;;1111;6061945;585352
615;"UAB Vaikystės sodas (M. K. Čiurlionio sodas)";"Liubarto g. 17";2147483647;;2;2017-12-01;;1111;6062110;580821
610;"UAB Vaikystės sodas (Lazdynų Pelėdos sodas)";"Naujakiemio g. 15A";2147483647;;2;2017-12-01;;1111;6066245;582378
613;"UAB Vaikystės sodas (Laisvės sodas)";"Latvių g. 16A";2147483647;;2;2017-12-01;;1111;6062755;580759
542;"UAB Vaikystės sodas (L. Sapiegos sodas)";"Antakalnio g. 28";302602019;http://vaikystes-sodas.lt;2;2017-07-27;;1111;6063340;584340
612;"UAB Vaikystės sodas (Konstitucijos sodas)";"Konstitucijos pr. 21C";2147483647;;2;2017-12-01;;1111;6063204;581940
678;"UAB Vaikystės sodas (Karalienės Mortos sodelis)";"Gervėčių g. 4, Vilnius";2147483647;;2;2018-07-01;;0;0;0
606;"UAB Vaikystės sodas (Karalienės Mortos sodas)";"J. Basanavičiaus g. 24";2147483647;;2;2017-12-01;;1111;6061313;581849
617;"UAB Vaikystės sodas (Karaliaus Mindaugo sodas)";"Bebrų g. 3";2147483647;;2;2017-12-01;;1111;6062918;580660
609;"UAB Vaikystės sodas (Gedimino sodas)";"Gedimino pr. 34";2147483647;;2;2017-12-01;;1111;6061984;582131
608;"UAB Vaikystės sodas (Draugystės sodas)";"Žolyno g. 47";2147483647;;2;2017-12-01;;1111;6064294;586168
616;"UAB Vaikystės sodas (Antano Miškinio sodas)";"Naujakurių g. 37";2147483647;;2;2017-12-01;;1111;6065502;585511
10205;"UAB The British School of Vilnius";"Nemenčinės pl. 48, Vilnius";304793605;;2;2019-11-01;;13;0;0
618;"UAB RD International";"Kauno g. 6";302206557;;2;2017-12-01;;1111;6060326;582436
568;"UAB Muzikija";"Mokyklos g. 6; Gražinos g. 18";147367552;http://www.strazdaneles.lt;2;2017-07-31;;1111;0;0
725;"UAB KITOKS DARŽELIS";"Augusto Šleicherio g. 9, Vilnius";304957143;;2;1987-12-12;;19;0;0
605;"UAB Karalienės Mortos mokykla";"Gervėčių g. 4";303033784;www.karalienesmortosmokykla.lt;2;2017-12-01;;1111;6060512;583862
643;"UAB „Vaikystės stebuklas“";"Igno Šimulionio g. 5";304054870;;2;2017-12-01;;1111;6062672;578999
686;"UAB „Taškius“ (Taškiaus mokslo ir menų mokykla)";"Maironio g. 11";304540865;www.taskius.lt;7;2017-06-01;;0;6061430;583357
622;"UAB „Pažinimo medis“";"Ozo g. 37";300556726;;2;2017-12-01;;1111;6063931;580073
639;"UAB „Meteora“";"M. K. Čiurlionio g. 82A";304245459;;2;2017-12-01;;1111;6061364;580858
593;"UAB „Išminčiukai“";"Juozo Balčikonio g. 7";303341390;;2;2017-07-31;;1111;6065723;582655
680;"UAB „Baltų šalis“";"Aukštagirio g. 18-1, Vilnius";304782053;;2;1987-12-12;;13;0;0
727;"UAB “Po sparneliu“";"Vydūno g. 18 – 65, LT 06205 Vilnius";304834888;;2;1970-03-21;;12;0;0
578;"UAB ""Vaikystės spalvos""";"Perkūnkiemio g. 47";303289591;www.meskakojis.lt;2;2017-07-31;;1111;6067328;578351
590;"UAB ""Tangramo grupė""";"Smolensko g. 10D";301680552;www.mazuju-valdos.lt;2;2017-07-31;;1111;6060378;581146
516;"UAB ""Superdarželiai""";"Justiniškių g. 144B";303194093;http://www.superbriedis.lt;2;2017-07-27;;1111;6066701;578429
522;"UAB ""Sniego liūtas""";"Konstitucijos pr. 12";303362121;www.sniegoliutas.lt;2;2017-07-27;;1111;6062814;582382
543;"UAB ""PUM plius""";"V. Grybo g. 7";122091270;http://gimnazija.lt;2;2017-07-27;;1111;6063580;584756
577;"UAB ""Pabirutis""";"Pušų g. 27";303974353;www.menuliopasaka.lt;2;2017-07-31;;1111;6062414;580618
562;"UAB ""MD LT""";"Juozo Balčikonio g. 3";302825082;;2;2017-07-31;;1111;6065549;582814
128;"Trakų Vokė";"Eduardo Andrė g. 6";291326310;;1;1996-01-01;;20;6055241;571717
598;"TEST_Gintarėlis (Popieriaus g. 46A)";"Popieriaus g. 46A";190029389;;1;2017-09-01;;0;6070424;586127
169;Švelnukas;"Žalgirio g. 115";190019656;;1;1960-01-01;;3;6063870;582480
10199;"Šv. Juozapo mokykla";"Jeruzalės g. 21, Vilnius";302627435;;2;2019-08-01;;1;0;0
117;Šnekutis;"Vytenio g. 41";190017267;;1;1199-01-13;;17;6060541;581507
116;Šypsena;"Povilo Višinskio g. 23";190011766;;1;2012-09-12;;16;6060511;584155
147;Šilelis;"Sietyno g. 5";290026840;;1;1992-01-21;;10;6061683;577294
115;Šermukšnėlė;"Didlaukio g. 66";290029950;;1;1961-01-01;;1;6066405;581924
162;Šaltinėlis;"Šaltkalvių g. 13";190021689;;1;1992-01-13;;19;6059207;581916
114;Sveikuolis;"Dūkštų g. 14";190030161;;1;1985-12-13;;5;6064690;580111
146;Svaja;"Architektų g. 210";190026654;;1;2000-02-12;;11;6061055;578652
10194;Superbriedis;"Gabijos g. 42";2147483647;;2;2015-09-01;;0;6067347;578963
595;"SUG ""Auk sveikas""";"Pušyno kel. 23";123072287;http://www.pusynokelias.lt/;2;2017-07-31;;1111;6066616;582724
113;Strazdelis;"Igno Šimulionio g. 14";190028477;;1;1974-03-01;;10;6063215;579213
682;"Strazdanėlės (Mokyklos g. 6)";"Mokyklos g. 6";2147483647;;2;1991-07-30;;1111;6068366;582195
683;Strazdanėlės;"Gražinos g. 22";2147483647;www.strazdaneles.lt;2;1991-07-30;;1111;6065445;585598
112;Spragtukas;"Žirmūnų g. 108";190011613;;1;1967-12-10;;2;6066278;583825
111;Spindulėlis;"Klinikų g. 5";190018216;;1;1961-01-01;;0;0;0
157;Spygliukas;"Architektų g. 16";190022595;spygliukas.lt;1;1969-11-18;;11;6060560;578449
110;Smalsučiai;"Minties g. 40";190025552;;1;1961-01-01;;2;6063682;583483
109;Skroblinukas;"Skroblų g. 13";190014680;;1;1996-01-15;;18;6060044;580835
145;Saulutė;"Miglos g. 1";190022061;"dir. 869928068";1;1970-03-21;;6;6063793;580537
108;Saulėtekis;"Genių g. 12";190014157;;1;1961-01-01;;14;6062344;591681
164;Saulėgrąža;"Taikos g. 31";190027560;;1;1961-01-01;;8;6065577;579285
273;Santariškių;"Santariškių g. 27";303384413;http://santariskiudarzelis.lt/;1;2015-01-12;;1;6070076;582528
107;Salvija;"J. Jasinskio g. 17";190019460;;1;1989-11-14;;17;6062109;581253
106;Salininkų;"Kalviškių g. 1";191326124;;1;1922-01-13;;19;6052946;581325
