Mikrorajonas;"Darželio pavadinimas";Grupės;"Lankančių Vaikų skaičius";"*Laukiančiu eilėje vaikų skaičius";"Laisvų vietų";"Pagal kalbas"
"Visos seniūnijos";"Prie pasakų parko";"Nuo 3 iki 4 metų";19;0;11;Pl
"Visos seniūnijos";"Prie pasakų parko";"Nuo 3 iki 6 metų";15;0;3;Ru
"Visos seniūnijos";"Prie pasakų parko";"Nuo 3 iki 5 metų";33;0;6;Ru
"Visos seniūnijos";"Prie pasakų parko";"Nuo 3 iki 5 metų";10;0;4;Pl
"Visos seniūnijos";"Prie pasakų parko";"Nuo 5 iki 6 metų";16;0;2;Ru
"Visos seniūnijos";"Prie pasakų parko";"Nuo 5 iki 7 metų";9;0;4;Ru
"Visos seniūnijos";"Prie pasakų parko";"Nuo 6 iki 7 metų";14;0;18;Ru
"Visos seniūnijos";"Prie pasakų parko";"Nuo 6 iki 7 metų";6;0;4;Pl
"Visos seniūnijos";"VĮ Mažasis Trinapolis mok. 160 Eur";"Nuo 2 iki 3 metų";2;0;0;Lt
"Visos seniūnijos";"VĮ Mažasis Trinapolis mok. 160 Eur";"Nuo 2 iki 4 metų";6;3;0;Lt
"Visos seniūnijos";"VĮ Mažasis Trinapolis mok. 160 Eur";"Nuo 3 iki 4 metų";24;2;0;Lt
"Visos seniūnijos";"VĮ Mažasis Trinapolis mok. 160 Eur";"Nuo 4 iki 5 metų";14;1;-5;Lt
"Visos seniūnijos";"VĮ Mažasis Trinapolis mok. 160 Eur";"Nuo 4 iki 6 metų";17;0;-1;Lt
"Visos seniūnijos";"VĮ Mažasis Trinapolis mok. 160 Eur";"Nuo 5 iki 6 metų";20;0;-1;Lt
"Visos seniūnijos";"VĮ Mažasis Trinapolis mok. 160 Eur";"Nuo 6 iki 7 metų";21;0;0;Lt
"Visos seniūnijos";Viltis;"Nuo 3 iki 7 metų";10;0;0;Lt
Žirmūnų;Ąžuolas;"Nuo 1,5 iki 3 metų";91;55;0;Lt
Žirmūnų;Ąžuolas;"Nuo 3 iki 4 metų";118;2;0;Lt
Žirmūnų;Ąžuolas;"Nuo 4 iki 5 metų";52;0;0;Lt
Žirmūnų;Ąžuolas;"Nuo 5 iki 6 metų";22;3;0;Lt
Žirmūnų;Ąžuolas;"Nuo 6 iki 7 metų";16;1;0;Lt
Žirmūnų;Pasaka;"Nuo 1,5 iki 3 metų";31;52;0;Lt
Žirmūnų;Pasaka;"Nuo 3 iki 4 metų";40;11;0;Lt
Žirmūnų;Pasaka;"Nuo 3 iki 7 metų";91;13;0;Lt
Žirmūnų;Pasaka;"Nuo 4 iki 5 metų";47;11;0;Lt
Žirmūnų;Pasaka;"Nuo 5 iki 6 metų";43;4;0;Lt
Žirmūnų;Pasaka;"Nuo 6 iki 7 metų";38;1;0;Lt
Žirmūnų;Ramunėlė;"Nuo 1,5 iki 3 metų";33;16;1;Lt
Žirmūnų;Ramunėlė;"Nuo 1,5 iki 3 metų";30;11;0;Ru
Žirmūnų;Ramunėlė;"Nuo 2 iki 4 metų";36;4;0;Pl
Žirmūnų;Ramunėlė;"Nuo 3 iki 4 metų";39;0;2;Lt
Žirmūnų;Ramunėlė;"Nuo 3 iki 5 metų";21;1;0;Ru
Žirmūnų;Ramunėlė;"Nuo 4 iki 5 metų";27;0;0;Lt
Žirmūnų;Ramunėlė;"Nuo 4 iki 7 metų";24;0;0;Pl
Žirmūnų;Ramunėlė;"Nuo 5 iki 6 metų";44;1;0;Lt
Žirmūnų;Ramunėlė;"Nuo 5 iki 7 metų";25;0;0;Ru
Žirmūnų;Ramunėlė;"Nuo 6 iki 7 metų";44;1;0;Lt
Žirmūnų;Spragtukas;"Nuo 1,5 iki 3 metų";39;13;0;Lt
Žirmūnų;Spragtukas;"Nuo 1,5 iki 3 metų";34;11;0;Ru
Žirmūnų;Spragtukas;"Nuo 2 iki 6 metų";26;2;0;Pl
Žirmūnų;Spragtukas;"Nuo 3 iki 4 metų";22;5;0;Lt
Žirmūnų;Spragtukas;"Nuo 3 iki 4 metų";26;1;0;Ru
Žirmūnų;Spragtukas;"Nuo 4 iki 5 metų";23;2;0;Lt
Žirmūnų;Spragtukas;"Nuo 4 iki 5 metų";26;0;0;Ru
Žirmūnų;Spragtukas;"Nuo 5 iki 6 metų";23;0;0;Lt
Žirmūnų;Spragtukas;"Nuo 5 iki 6 metų";22;0;0;Ru
Žirmūnų;Spragtukas;"Nuo 6 iki 7 metų";22;0;0;Lt
Žirmūnų;Spragtukas;"Nuo 6 iki 7 metų";30;0;2;Ru
Žirmūnų;Vaidilutė;"Nuo 1,5 iki 3 metų";68;36;0;Lt
Žirmūnų;Vaidilutė;"Nuo 3 iki 4 metų";91;3;0;Lt
Žirmūnų;Vaidilutė;"Nuo 4 iki 5 metų";44;0;8;Lt
Žirmūnų;Vaidilutė;"Nuo 5 iki 6 metų";48;0;0;Lt
Žirmūnų;Vaidilutė;"Nuo 5 iki 7 metų";21;0;0;Lt
Žirmūnų;Vaidilutė;"Nuo 6 iki 7 metų";40;0;-20;Lt
Žirmūnų;Vaivorykštė;"Nuo 3 iki 4 metų";87;2;1;Ru
Žirmūnų;Vaivorykštė;"Nuo 3 iki 5 metų";11;0;0;Ru
Žirmūnų;Vaivorykštė;"Nuo 4 iki 5 metų";45;3;0;Ru
Žirmūnų;Vaivorykštė;"Nuo 5 iki 6 metų";25;2;0;Ru
Žirmūnų;Vaivorykštė;"Nuo 5 iki 7 metų";46;1;0;Ru
Žirmūnų;Vaivorykštė;"Nuo 6 iki 7 metų";47;1;0;Ru
Žirmūnų;Vieversys;"Nuo 1,5 iki 3 metų";65;17;0;Lt
Žirmūnų;Vieversys;"Nuo 3 iki 4 metų";76;1;0;Lt
Žirmūnų;Vieversys;"Nuo 4 iki 5 metų";27;2;0;Lt
Žirmūnų;Vieversys;"Nuo 5 iki 6 metų";70;2;0;Lt
Žirmūnų;Vieversys;"Nuo 6 iki 7 metų";62;0;13;Lt
Žirmūnų;"Vilniaus Emilijos Pliaterytės progimnazija";"Nuo 6 iki 7 metų";62;1;20;Lt
Žirmūnų;"Vilniaus Verkių mokykla-daugiafunkcis centras";"Nuo 3 iki 7 metų";5;0;0;Lt
Žvėryno;Birutės;"Nuo 3 iki 4 metų";38;0;8;Lt
Žvėryno;Birutės;"Nuo 4 iki 5 metų";23;1;0;Lt
Žvėryno;Birutės;"Nuo 5 iki 6 metų";23;3;0;Lt
Žvėryno;Birutės;"Nuo 6 iki 7 metų";22;0;0;Lt
Žvėryno;Boružėlė;"Nuo 1,5 iki 3 metų";84;60;0;Lt
Žvėryno;Boružėlė;"Nuo 3 iki 4 metų";54;10;0;Lt
Žvėryno;Boružėlė;"Nuo 4 iki 5 metų";65;10;0;Lt
Žvėryno;Boružėlė;"Nuo 5 iki 6 metų";53;10;0;Lt
Žvėryno;Boružėlė;"Nuo 6 iki 7 metų";47;16;0;Lt
Žvėryno;Eglutė;"Nuo 1,5 iki 3 metų";102;17;1;Lt
Žvėryno;Eglutė;"Nuo 3 iki 4 metų";66;0;0;Lt
Žvėryno;Eglutė;"Nuo 3 iki 7 metų";23;1;0;Lt
Žvėryno;Eglutė;"Nuo 4 iki 5 metų";32;0;1;Lt
Žvėryno;Eglutė;"Nuo 5 iki 6 metų";50;1;0;Lt
Žvėryno;Eglutė;"Nuo 6 iki 7 metų";71;1;0;Lt
Žvėryno;Linelis;"Nuo 1,5 iki 3 metų";34;13;0;Lt
Žvėryno;Linelis;"Nuo 3 iki 4 metų";22;2;0;Lt
Žvėryno;Linelis;"Nuo 4 iki 5 metų";22;2;0;Lt
Žvėryno;Linelis;"Nuo 5 iki 7 metų";19;2;1;Lt
Žvėryno;Pušynėlis;"Nuo 1,5 iki 3 metų";37;6;0;Lt
Žvėryno;Pušynėlis;"Nuo 3 iki 5 metų";24;3;0;Lt
Žvėryno;Pušynėlis;"Nuo 3 iki 6 metų";26;0;0;Lt
Žvėryno;Pušynėlis;"Nuo 6 iki 7 metų";20;0;0;Lt
Žvėryno;Saulutė;"Nuo 1,5 iki 3 metų";36;5;0;Ru
Žvėryno;Saulutė;"Nuo 1,5 iki 3 metų";30;0;0;Pl
Žvėryno;Saulutė;"Nuo 3 iki 4 metų";22;3;0;Ru
Žvėryno;Saulutė;"Nuo 3 iki 5 metų";19;0;0;Pl
Žvėryno;Saulutė;"Nuo 3 iki 7 metų";20;0;0;Pl
Žvėryno;Saulutė;"Nuo 4 iki 5 metų";23;1;0;Ru
Žvėryno;Saulutė;"Nuo 5 iki 6 metų";20;0;0;Ru
Žvėryno;Saulutė;"Nuo 5 iki 7 metų";22;1;0;Ru
Žvėryno;Saulutė;"Nuo 6 iki 7 metų";19;1;0;Ru
Žvėryno;"Vilniaus „Genio“ progimnazija";"Nuo 6 iki 7 metų";43;13;0;Lt
